1:"across ":"əˈkrɒs":"Beginner":"A1"
2:"action":"ˈækʃn":"Beginner":"A1"
3:"activity":"ækˈtɪvəti":"Beginner":"A1"
4:"actor":"ˈæktə(r)":"Beginner":"A1"
5:"actress":"ˈæktrəs":"Beginner":"A1"
6:"to add":"æd":"Beginner":"A1"
7:"address":"əˈdres":"Beginner":"A1"
8:"adult":"ˈædʌlt":"Beginner":"A1"
9:"advice":"ədˈvaɪs":"Beginner":"A1"
10:"afraid":"əˈfreɪd":"Beginner":"A1"
11:"after":"ˈæftər":"Beginner":"A1"
12:"afternoon":"ˌæftərˈnuːn":"Beginner":"A1"
13:"again":"əˈɡeɪn":"Beginner":"A1"
14:"age":"eɪdʒ":"Beginner":"A1"
15:"to agree":"əˈɡriː":"Beginner":"A1"
16:"air":"eə(r)":"Beginner":"A1"
17:"airport":"ˈeəpɔːt":"Beginner":"A1"
18:"also":"ˈɔːlsəʊ":"Beginner":"A1"
19:"always":"ˈɔːlweɪz":"Beginner":"A1"
20:"amazing":"əˈmeɪzɪŋ":"Beginner":"A1"
21:"and":"ənd":"Beginner":"A1"
22:"angry":"ˈæŋɡri":"Beginner":"A1"
23:"animal":"ˈænɪml":"Beginner":"A1"
24:"another":"əˈnʌðə(r)":"Beginner":"A1"
25:"answer":"ˈɑːnsə(r)":"Beginner":"A1"
26:"to answer":"ˈænsər":"Beginner":"A1"
27:"apartment":"əˈpɑːtmənt":"Beginner":"A1"
28:"apple":"ˈæpl":"Beginner":"A1"
29:"April":"ˈeɪprəl":"Beginner":"A1"
30:"area":"ˈeəriə":"Beginner":"A1"
